Date,Open,High,Low,Close,Volume
19990104,8.8915,8.9813,8.8017,8.9414,1567094
19990105,8.9414,9.2807,8.9214,9.101,3447124
19990106,9.2807,9.3805,9.1809,9.3405,2986374
19990107,9.3405,9.3805,8.9414,9.3605,3417388
19990108,9.3605,9.4803,9.2408,9.3006,2206094
19990111,9.0512,9.1809,8.9214,8.9613,1683784
19990112,8.9613,9.121,8.7817,8.8615,2623162
19990113,8.4789,8.7189,8.2389,8.5989,4697844
19990114,8.5989,8.6789,8.2589,8.3589,5114368
19990115,8.7389,9.0788,8.3989,8.9589,3165140
19990118,9.1388,9.2388,9.0388,9.2188,1330626
19990119,9.2188,9.2788,9.0188,9.1388,4097134
19990120,9.1388,9.2388,8.7789,8.8189,1831040
19990121,8.8189,8.9789,8.6589,8.7189,1898386
19990122,8.7189,8.8389,8.4189,8.7389,2473838
19990125,8.7389,8.9389,8.6989,8.8989,1856072
19990126,8.8989,9.0388,8.7589,8.8189,1793964
19990127,8.9789,9.1188,8.8389,9.0388,2123832
19990128,9.1188,9.1788,9.0588,9.0588,1452634
19990129,9.0588,9.1588,8.8589,8.9988,3847502
19990201,8.9988,9.0988,8.8389,8.8589,1665980
19990202,8.8589,8.9389,8.6589,8.7989,2900302
19990203,8.7989,8.7989,8.6589,8.7989,2009660
19990204,8.7989,8.7989,8.5989,8.6989,1105498
19990205,8.6989,8.7189,8.3989,8.4989,2032304
19990208,8.4989,8.5189,8.3989,8.4789,1301380
19990209,8.4789,8.5989,8.4189,8.4389,3668800
19990210,8.4389,8.5589,8.4389,8.4989,1553840
19990211,8.4989,8.5989,8.4589,8.4989,2088756
19990212,8.4989,8.6189,8.3189,8.5389,1707688
19990215,8.5389,8.6189,8.4389,8.4789,701292
19990216,8.6589,8.7989,8.5189,8.5789,3016818
19990217,8.5789,8.7989,8.4389,8.6189,1551012
19990218,8.6189,8.9789,8.5989,8.7389,2813158
19990219,8.9089,8.9988,8.8189,8.8789,1627772
19990222,8.8789,9.0188,8.8189,8.9389,1930240
19990223,9.0488,9.1188,8.9789,9.0788,2484666
19990224,9.0788,9.1988,8.8989,8.8989,3155540
19990225,8.8989,8.9789,8.5989,8.5989,2578432
19990226,8.5989,8.9589,8.5389,8.8589,7335404
19990301,8.8589,8.8789,8.5989,8.7989,1600960
19990302,8.7989,8.8989,8.6989,8.6989,1615196
19990303,8.6989,8.7789,8.4389,8.4789,2431028
19990304,8.5689,8.6389,8.4989,8.5589,1545808
19990305,8.7289,8.8789,8.5789,8.6789,2956904
19990308,8.6789,8.7789,8.6389,8.7789,2469360
19990309,8.7789,8.8589,8.6589,8.7189,1372992
19990310,8.7189,8.7389,8.5989,8.6389,1332932
19990311,8.6389,8.7189,8.3789,8.4589,2923804
19990312,8.4589,8.6389,8.4189,8.5989,2114120
19990315,8.5989,8.6789,8.4989,8.6189,1261386
19990316,8.6189,8.7189,8.4989,8.5789,959972
19990317,8.5789,8.5989,8.3589,8.3989,1643586
19990318,8.3989,8.4389,8.3189,8.3589,1448932
19990319,8.3589,8.4989,8.3589,8.3989,3593484
19990322,8.3989,8.4589,8.3189,8.3589,1483062
19990323,8.149,8.3389,7.959,8.099,3776848
19990324,8.099,8.139,7.959,8.019,2245976
19990325,8.149,8.199,8.099,8.139,2150692
19990326,8.139,8.159,8.039,8.059,2117572
19990329,8.059,8.119,7.959,7.959,1767408
19990330,7.959,7.999,7.699,7.739,2537340
