Date,Open,High,Low,Close,Volume
19990104,410.2156,410.2156,402.6190,406.4173,4516
19990105,406.4173,410.2156,399.5804,399.5804,9780
19990106,410.2156,417.8122,402.6190,417.8122,13594
19990107,417.8122,425.4088,410.2156,410.2536,9485
19990108,410.2536,414.0139,398.8207,404.8980,9262
19990111,404.8980,406.0375,402.6190,402.6190,2747
19990112,402.6190,402.6190,393.5031,396.5418,3988
19990113,387.4259,395.0224,379.8293,391.2241,3259
19990114,393.5031,395.0224,391.9838,393.5031,5648
19990115,416.6727,434.5247,398.8207,434.5247,11107
19990118,434.5247,444.4002,417.8122,444.4002,8046
19990119,435.0944,440.9818,429.2071,430.7264,2006
19990120,430.7264,440.6020,429.2071,436.8037,4101
19990121,436.8037,437.5633,433.0054,434.5247,4002
19990122,423.5096,429.2071,417.8122,429.2071,1026
19990125,429.2071,433.0054,425.4088,433.0054,2999
19990126,433.0054,433.0054,429.2071,429.2071,4380
19990127,429.2071,433.0054,429.2071,430.7264,11031
19990128,430.7264,436.8037,427.6878,429.2071,7133
19990129,438.7028,444.4002,433.0054,436.8037,31956
19990201,436.8037,455.7951,436.8037,455.7951,4807
19990202,455.7951,455.7951,448.1985,448.1985,4405
19990203,448.1985,463.3917,444.4002,459.5934,15656
19990204,459.5934,459.5934,444.4002,448.1985,47759
19990205,438.7028,440.6020,436.8037,436.8037,19674
19990208,436.8037,437.5633,433.0054,433.0054,13350
19990209,433.0054,433.0054,417.8122,417.8122,2627
19990210,417.8122,420.8508,411.7349,411.7349,2697
19990211,411.7349,417.8122,406.4173,417.0525,10731
19990212,420.0912,422.3701,417.8122,417.8122,2144
19990215,417.8122,417.8122,410.2156,417.0525,5773
19990216,417.0525,417.8122,398.8207,401.0997,7154
19990217,410.2156,417.8122,402.6190,410.2156,5983
19990218,410.2156,417.8122,410.2156,411.7349,16579
19990219,411.7349,414.7736,410.2156,410.2156,4607
19990222,410.2156,412.4946,406.4173,406.4173,3141
19990223,411.7349,413.2542,410.2156,410.2536,8413
19990224,410.2536,414.0139,406.4173,406.4173,5694
19990225,406.4173,414.0139,402.6190,402.6190,5951
19990226,402.6190,410.2156,402.6190,402.6570,12789
19990301,398.8207,402.6190,395.0224,401.0997,24226
19990302,390.8443,398.8207,382.8679,382.8679,182649
19990303,382.8679,387.4259,382.1082,383.6276,11522
19990304,388.1855,391.2241,385.1469,387.4259,10517
19990305,387.4259,398.8207,387.4259,391.2241,11686
19990308,391.2241,395.0224,387.4259,387.4259,7360
19990309,392.3636,395.0224,389.7048,395.0224,4149
19990310,395.0224,410.2156,395.0224,395.0224,4656
19990311,385.9065,391.9838,379.8293,379.8293,16940
19990312,379.8293,387.4259,379.8293,385.1469,13716
19990315,385.1469,387.4259,383.6276,385.9065,7604
19990316,385.9065,387.4259,383.6276,383.6276,6627
19990317,383.6276,386.6662,379.8293,385.1469,12091
19990318,374.8725,385.1089,364.6361,364.6361,10013
19990319,364.6361,364.6361,360.8378,363.8764,26342
19990322,363.8764,366.1554,353.2412,360.8378,18400
19990323,343.7455,357.0395,330.4515,330.4515,8297
19990324,322.4751,329.6918,315.2583,315.2583,31063
19990325,332.7304,345.6446,319.8162,335.0094,20207
19990326,341.8463,345.6446,338.0481,344.8850,10797
19990329,344.8850,344.8850,322.8549,323.6145,11730
19990330,319.4364,322.8549,316.0180,319.4364,243198
19990331,330.0716,337.2884,322.8549,334.2498,23041
19990401,334.2498,334.2498,326.6532,328.1725,4517
19990405,341.8463,349.4429,334.2498,336.5287,6671
19990406,336.5287,341.0867,334.2498,334.2498,68217
19990407,334.2498,341.0867,326.6532,326.6532,14568
19990408,326.6532,326.6532,315.2583,319.0566,63708
19990409,319.0566,322.8549,300.8248,301.5844,57464
19990412,301.5844,308.4214,296.2668,296.3048,33956
19990413,296.3048,297.7861,278.7947,280.3140,50761
19990414,290.5694,300.0651,281.0737,296.2668,167295
19990415,296.2668,305.7626,290.9492,290.9492,41166
19990416,290.9492,296.2668,288.6702,290.1896,28724
19990419,290.1896,293.2282,284.8720,287.1509,13633
19990420,287.1509,287.1509,281.0737,284.1123,15374
19990421,284.1123,284.8720,281.0737,281.0737,80672
19990422,281.0737,281.0737,277.2754,279.5543,11853
19990423,279.5543,303.8634,274.2367,303.8634,16896
19990426,303.8634,307.6617,296.2668,296.2668,14781
19990427,306.5222,311.4600,301.5844,303.8634,17994
19990428,303.8634,312.9793,303.8634,311.4600,8754
19990429,324.7540,334.2498,315.2583,326.6532,11246
19990430,326.6532,334.2498,316.0180,322.8549,15916
19990503,322.8549,322.8549,313.1692,319.0566,6298
19990504,311.4600,315.2583,307.6617,307.6617,20892
19990505,307.6617,315.2583,305.3827,311.4600,7125
19990506,311.4600,322.8549,311.4600,315.2583,6758
19990507,315.2583,319.0566,311.4600,311.4600,6665
19990510,311.4600,322.8549,311.4600,322.8549,2612
19990511,322.8549,322.8549,318.2969,318.2969,11021
19990512,320.9557,322.8549,319.0566,319.0566,8797
19990513,322.4751,324.3742,320.5759,322.8549,9308
19990514,322.8549,322.8549,318.2969,318.2969,14699
19990517,318.2969,322.0952,316.8156,322.0952,3876
19990518,322.0952,324.3742,321.3356,322.8549,5443
19990519,322.8549,330.4515,321.3356,324.3742,24060
19990520,315.6191,323.6145,307.6237,309.1810,33345
19990521,314.4986,317.5373,311.4600,311.4600,7335
19990525,311.4600,311.4600,307.6617,309.1810,4881
19990526,309.1810,316.7776,307.7377,316.7776,2929
19990527,316.7776,319.0566,309.1810,311.4600,83309
19990528,311.4600,315.2583,309.9407,314.4986,2792
19990531,314.4986,318.2969,311.4600,311.4600,375
19990601,311.4600,319.0566,311.4600,314.4986,15051
19990602,314.4986,315.2583,312.9793,315.2583,5174
19990603,315.2583,315.2583,312.9793,315.2583,9924
19990604,315.2583,315.2583,312.2197,312.9793,26004
19990607,312.9793,315.2583,311.4600,315.2583,71440
19990608,315.2583,315.2583,306.9021,307.6617,12641
19990609,307.6617,315.2583,307.6617,309.9407,9297
19990610,309.9407,311.5360,304.6231,304.6231,25344
19990611,304.6231,307.6617,303.8634,306.1424,39670
19990614,301.9643,303.8634,300.0651,303.1038,7653
19990615,303.1038,303.8634,300.8248,300.8248,28552
19990616,300.8248,303.8634,300.8248,301.5844,4252
19990617,301.5844,303.8254,300.0651,300.8248,25944
19990618,300.8248,303.1038,290.1896,292.4685,17954
19990621,292.4685,293.9879,283.3526,284.1123,13882
19990622,284.1123,286.0114,277.6552,280.9977,32868
19990623,280.9977,296.2668,280.9977,295.5072,12428
19990624,300.0651,302.3441,297.7861,300.0651,14407
19990625,306.5222,309.1810,303.8634,307.6617,9856
19990628,307.6617,307.6617,303.8634,303.8634,4205
19990629,303.8634,303.8634,294.7475,296.2668,3700
19990630,296.2668,300.0651,296.2668,300.0651,7052
19990702,300.0651,306.9021,296.2668,306.1424,9811
19990705,306.1424,306.1424,301.5844,306.1424,11368
19990706,306.1424,319.0566,303.8634,316.7776,57832
19990707,316.7776,316.7776,311.4600,311.4600,10160
19990708,311.4600,312.9413,310.7003,310.7003,24246
19990709,310.7003,311.4600,307.6617,311.4600,31390
19990712,311.4600,313.7390,309.1810,311.4600,3772
19990713,301.9643,307.6617,296.2668,305.3827,6961
19990714,305.3827,322.8549,300.0651,319.0566,27094
19990715,319.0566,319.0566,315.2583,316.0180,8062
19990716,316.0180,318.2969,316.0180,318.2969,2264
19990719,318.2969,319.0566,315.2583,319.0566,6682
19990720,319.0566,319.0566,314.1188,318.2969,4595
19990721,318.2969,318.2969,315.2583,316.0180,5628
19990722,316.0180,316.7776,307.6617,307.6617,2917
19990723,307.6617,307.6617,300.8248,301.2046,3915
19990726,293.9879,296.2668,291.7089,292.4685,25555
19990727,297.0265,300.0651,293.9879,297.0265,20820
19990728,299.7043,302.3441,297.0645,300.0651,6539
19990729,300.0651,303.8634,299.3055,299.3055,16167
19990730,299.3055,300.0651,296.2668,296.2668,7982
19990803,296.2668,296.2668,292.4685,296.2668,11833
19990804,296.2668,300.0651,294.7475,294.7475,5087
19990805,246.6991,288.2904,205.1078,208.1464,303973
19990806,208.1464,221.0606,206.6271,216.5027,274408
19990809,216.5027,235.4941,216.5027,218.7817,92679
19990810,218.7817,225.6186,212.7044,214.2237,78923
19990811,218.0220,220.3010,215.7430,218.7817,53933
19990812,218.7817,224.8589,216.5027,217.2623,59396
19990813,217.2623,218.0220,214.9834,216.5027,5739
19990816,216.5027,219.5413,212.7044,214.2237,17359
19990817,214.2237,216.5027,208.1464,208.1464,10191
19990818,208.1464,211.7548,206.6271,208.1464,34877
19990819,208.1464,208.9061,192.9533,201.3095,40940
19990820,205.4497,208.9061,201.9932,201.9932,7460
19990823,201.9932,202.8288,189.9146,192.9533,26240
19990824,192.9533,201.3095,189.9146,190.6743,42739
19990825,190.6743,194.0928,189.9146,191.4340,36117
19990826,191.4340,194.4726,189.9146,191.8138,11685
19990827,191.8138,193.7129,188.3953,189.9146,31395
19990830,189.9146,189.9146,185.3567,186.1163,37983
19990831,186.1163,189.9146,183.8374,189.1550,35373
19990901,189.1550,189.9146,186.1163,188.3953,43877
19990902,182.6979,186.1163,179.2794,182.3181,32940
19990903,182.3181,186.1163,178.5198,178.5198,19043
19990907,178.5198,183.8374,170.9232,171.6828,64410
19990908,171.6828,174.7215,147.3738,170.9232,120626
19990909,170.9232,171.6828,162.5669,170.1635,24543
19990910,170.1635,173.2021,169.4039,170.9232,20784
19990913,170.9232,171.6828,168.6442,168.6442,9345
19990914,168.6442,170.1635,164.8459,168.6442,9743
19990915,168.6442,168.6442,163.3266,163.3646,24920
19990916,163.3646,169.4039,163.3266,166.3652,14315
19990917,166.3652,168.6442,165.0358,166.3652,44205
19990920,169.7837,170.9232,168.6442,168.6442,15515
19990921,168.6442,170.9232,167.5047,167.5047,21103
19990922,167.5047,168.6442,167.1249,167.8845,33346
19990923,167.8845,169.2139,167.1249,169.2139,37764
19990924,169.2139,170.9232,167.8845,169.4039,70901
19990927,169.4039,170.1635,168.6442,169.4039,75110
19990928,169.4039,169.4039,166.3652,166.3652,48566
19990929,166.3652,168.6442,166.3652,167.8845,12100
19990930,167.8845,168.6442,164.0862,167.1249,8254
19991001,167.1249,168.6442,165.6056,166.3652,8377
19991004,166.3652,167.1249,164.0862,166.3652,11124
19991005,166.3652,166.3652,152.7293,155.7300,12971
19991006,155.7300,159.5283,154.2107,155.7300,36326
19991007,155.7300,159.5283,154.9703,155.7300,24328
19991008,159.5283,162.5669,156.4897,157.2493,18218
19991012,157.2493,161.0476,156.8695,160.2880,10455
19991013,158.7686,159.5283,158.0090,159.5283,9596
19991014,159.5283,167.1249,158.7686,167.1249,11462
