Date,Open,High,Low,Close,Volume
20150727,14.3248,14.4191,14.2306,14.2306,171033
20150728,14.3013,14.4662,14.3013,14.3908,152755
20150729,14.5604,14.6547,14.4662,14.6123,241906
20150730,14.5133,14.5322,14.3531,14.3720,653161
20150731,14.4002,14.4002,14.2683,14.2683,136415
20150804,14.3625,14.3625,13.9102,14.0421,157692
20150805,14.1364,14.1552,14.0704,14.0704,111325
20150806,14.1835,14.4379,14.1835,14.3720,204303
20150807,14.3720,14.3720,14.0892,14.1364,32589
20150810,14.2306,14.2683,14.1835,14.2306,71743
20150811,14.1929,14.2777,14.1364,14.1741,49621
20150812,14.1364,14.2212,14.0421,14.0987,264380
20150813,14.1364,14.2306,14.1364,14.1364,73661
20150814,14.2306,14.2306,14.1741,14.1741,34000
20150817,14.1458,14.1646,14.1364,14.1364,43386
20150818,14.1364,14.2777,14.1364,14.1552,71650
20150819,14.2212,14.3814,14.1552,14.2494,160800
20150820,14.4662,14.8432,14.4379,14.5699,33410
20150821,14.6453,14.6547,14.4332,14.5133,64300
20150824,13.4955,14.2306,13.4955,14.0421,103726
20150825,14.2777,14.2777,14.0421,14.0704,101107
20150826,14.1929,14.2589,14.1364,14.1552,149362
20150827,14.3814,14.6076,14.2023,14.2494,12145
20150828,14.2871,14.4379,14.2777,14.3720,448356
20150831,14.4191,14.5322,14.4191,14.4756,9524
20150901,14.3343,14.4945,14.3343,14.4662,86982
20150902,14.4191,14.4191,14.2683,14.3343,21505
20150903,14.3060,14.5793,14.3060,14.5604,298304
20150904,14.5604,14.5981,14.4285,14.5322,82205
20150908,14.6076,14.6076,14.5510,14.5604,4876
20150909,14.5604,14.5604,14.3343,14.3720,45941
20150910,14.4191,14.4191,14.2777,14.3625,201795
20150911,14.4191,14.4191,14.2589,14.3720,7944
20150914,14.3720,14.3720,14.2023,14.2777,28794
20150915,14.3154,14.8432,14.2777,14.4191,64300
20150916,14.4662,14.5793,14.3720,14.5133,143898
20150917,14.4662,14.4756,14.3343,14.4474,31940
20150918,14.4285,14.4851,14.4002,14.4191,5029
20150921,14.4662,14.8149,14.4285,14.6641,118407
20150922,14.6076,14.6830,14.5604,14.6358,10700
20150923,14.6076,14.6076,14.4756,14.5981,20200
20150924,14.5604,14.5604,14.3720,14.4191,21260
20150925,14.4191,14.4851,14.3248,14.4851,23150
20150928,14.4097,14.4097,14.3625,14.3720,22300
20150929,14.3814,14.3908,14.3720,14.3908,13400
20150930,14.3720,14.5039,14.2023,14.3060,48300
20151001,14.3060,14.3154,14.2777,14.2777,14600
20151002,14.2966,14.2966,14.2118,14.2118,3650
20151005,14.1929,14.2494,14.0892,14.2306,35425
20151006,14.1646,14.1741,13.9573,14.0233,62600
20151007,14.0421,14.1411,13.9573,14.0704,85436
20151008,14.0515,14.0892,14.0327,14.0798,55474
20151009,14.0421,14.0563,13.9008,14.0233,9593
20151013,14.0327,14.0421,13.9667,13.9667,5380
20151014,13.9479,13.9479,13.2788,13.8348,26227
20151015,13.7782,13.8159,13.6840,13.7594,31100
20151016,13.8159,13.9479,13.8065,13.9102,6090
20151019,13.9102,13.9384,13.8065,13.8159,4120
20151020,13.8065,13.8065,13.7594,13.7594,4400
20151021,13.7405,13.7594,13.2788,13.2882,77875
20151022,13.4013,13.6557,13.3259,13.6463,19000
20151023,13.6651,13.7782,13.6463,13.7594,11827
20151026,13.7123,14.0798,13.7123,13.8536,13770
